,0
0,32714495153174.42
1,78495476252638.89
2,61971025300113.23
3,49661400031044.586
4,34705582603392.91
5,7383041095220.629
6,75329845150312.56
7,6880449986234.769
8,61432804132623.62
9,55191346168653.03
10,85457554966940.44
11,6469267953223.89
12,17361247316749.725
13,41385156446546.38
14,4254799762276.605
15,33541606375542.812
16,25940051917915.363
17,37705080247757.234
18,36248964667255.24
19,145924060029455.12
20,71089919304061.23
21,22148410199981.39
22,19201696723048.25
23,14744315686364.361
24,33972727040901.098
25,9919785895283.334
26,34374162304036.19
27,27502125160390.594
28,15955034682869.14
29,114213402780798.97
30,9080933673039.213
31,13924252054340.725
32,16830142142235.387
33,15018900203834.123
34,99141879004219.84
35,107393354660438.38
36,9428757107289.762
37,18575376146612.36
38,23143367601306.59
39,24943005150993.68
40,36209438582113.055
41,13823995986849.19
42,83315531833018.28
43,44774097055455.21
44,77721292395389.62
45,67090911367215.01
46,98013123754384.8
47,65922549689601.26
48,37207665727991.586
49,61107742996503.79
50,83534122873718.17
51,89613774237139.86
52,30217702462234.926
53,127687308476980.83
54,101085466568888.86
55,37485325548639.03
56,74732493095824.4
57,27777785130040.79
58,100100143863692.11
59,64376247891837.11
60,75561089818363.78
61,81408303843498.44
62,7169162909095.453
63,37325484329312.3
64,49940514277367.94
65,42997950609546.82
66,17747157889620.086
67,32480401799217.492
68,43392447550680.19
69,60613967920144.555
70,31073641105732.33
71,44416743433505.18
72,10112473642206.871
73,6528915158778.984
74,63727173147419.49
75,24640461312829.0
76,7494173463952.594
77,10958578235264.197
78,38472300414594.66
79,26268969032495.375
80,29826126700261.48
81,65104206676752.56
82,51145357699994.96
83,14126128615625.582
84,29078290016990.65
85,29655921980288.914
86,32528039436076.46
87,25586553420309.41
88,16513514472029.506
89,39434252743250.68
90,71649582860275.03
91,12306131049394.816
92,7230206602599.498
93,2906390611226.213
94,84556500345399.4
95,4641686437916.29
96,82594007430002.5
97,22524092344733.758
98,22973876977777.88
99,60696988232683.914
100,79869521466635.27
101,9877169251520.488
102,54770038294533.47
103,106395438488588.03
104,10592839205910.176
105,95416210216349.81
106,3900211955137.9697
107,79824969673996.17
108,16991383020052.938
109,17316148507670.914
110,91499136902074.64
111,75673046150266.83
112,111081501730447.1
113,19453207238046.453
114,114358804587275.97
115,68711610342996.35
116,17615334890738.617
117,11177738441187.055
118,66024512910613.46
119,33704790087257.17
120,5224345521271.455
121,36235648479248.85
122,147006063974358.62
123,17051286833349.547
124,47680316928659.64
125,12223025686690.164
126,22371310942717.26
127,83840765310099.25
128,5927458058466.046
129,47970652559086.766
130,8052781771120.6
131,30991932868692.227
132,20117075401579.914
133,39688428501484.234
134,10673790770343.559
135,35887542592125.88
136,44422743348709.22
137,42942139119238.35
138,59318050405714.73
139,19997706152404.984
140,27254169354663.625
141,25075714332646.863
142,12086518816701.244
143,118173479294360.11
144,54794499953007.97
145,62430540049875.086
146,43341751525384.55
147,25091636891116.137
148,15832519133106.834
149,13505438868709.2
150,24333854789214.457
151,22448358764820.246
152,19814274464455.19
153,66221388683068.65
154,9932947150647.348
155,-1344140367779.4597
156,17493721735855.287
157,35687877231899.664
158,2387594908443.3135
159,23206340258679.36
160,31016386731938.31
161,39310181415035.62
162,115264654710467.06
163,78298510465697.45
164,41801668115506.61
165,76649634902473.36
166,65851362988216.43
167,71653542137215.19
168,42748446828723.54
169,188655983959597.28
170,47077729405715.17
171,82447718008573.83
172,25567768577564.656
173,42420463354143.02
174,43613309387786.0
175,15293899881659.895
176,35353020293016.58
177,26412395285393.656
178,58415543312202.91
179,82007022208284.58
180,96620293767279.9
181,56806815602432.67
182,15961527615070.555
183,20847429822745.87
184,109427390082054.27
185,69728920651432.53
186,56311723666219.69
187,14791136960444.418
188,42999375218280.25
189,51630394608527.25
190,20490255216944.64
191,12748555320569.762
192,-3972018757153.6494
193,27355563964322.293
194,22936842350816.203
195,33375861336095.1
196,28252605018371.61
197,26327681639639.297
198,38598657199698.89
199,59805887270646.8
200,127012674145769.61
201,91602849016139.66
202,119459014845397.45
203,208113371974151.4
204,31820798261985.812
205,131327573594478.1
206,109734660509815.98
207,97157998575800.06
208,92576410770607.36
209,107941233568279.92
210,113417734993921.84
211,180105721175795.38
212,20783710211932.523
213,28013686519958.727
214,73809244593537.6
215,75099888699135.33
216,76546862627900.38
217,192479815465141.53
218,145796381831809.78
219,87613362277920.72
220,23353862089885.07
221,107718640594234.1
222,21682636588201.836
223,5324796171386.282
224,5947718813048.614
225,17041482225769.646
226,13084485388179.791
227,9817303499173.098
228,9059277284587.434
229,49743650513425.59
230,35553519655392.12
231,54199603023682.625
232,25646110886916.7
233,52222125136072.26
234,14814619646542.686
235,82161104767346.48
236,14814619646558.44
